iter	RMSE
0	4.517384888
1	2.374619509
2	1.333314472
3	0.8244096091
4	0.6141348315
5	0.5011661226
6	0.4008450786
7	0.3679147016
8	0.3158025595
9	0.2896309928
10	0.2582731959
11	0.2419920252
12	0.2264323879
13	0.2174875581
14	0.2052973764
15	0.1979554791
16	0.1933390437
17	0.1868403571
18	0.1762592086
19	0.1706928025
20	0.1677906268
21	0.1639063132
22	0.15944383
23	0.1528128287
24	0.149726876
25	0.1445443625
26	0.1420995497
27	0.1372546315
28	0.1316092495
29	0.1286078364
30	0.1252917862
31	0.1227740869
32	0.1200254899
33	0.1191401377
34	0.1167181971
35	0.113128096
36	0.111006968
37	0.1088754049
38	0.106189902
39	0.1052395637
40	0.1037118764
41	0.1018591592
42	0.1000079285
43	0.0979873784
44	0.09574890196
45	0.09448562965
46	0.09358898427
47	0.09212392233
48	0.09107891392
49	0.09034047579
50	0.08884445728
51	0.08811787621
52	0.0869666805
53	0.08551369407
54	0.08453499301
55	0.08399655987
56	0.08356322688
57	0.08260664903
58	0.08202028212
59	0.08165188059
60	0.08120082129
61	0.08026725464
62	0.07990736985
63	0.07927558368
64	0.07837168904
65	0.07767275866
66	0.07692604331
67	0.07664289854
68	0.07598490654
69	0.07560407323
70	0.07479578428
71	0.07415583621
72	0.07327085692
73	0.07290381611
74	0.07243816221
75	0.07194621429
76	0.07135313496
77	0.07028720318
78	0.06984376314
79	0.06963225891
80	0.06912143591
81	0.06847553824
82	0.06813349439
83	0.06780806344
84	0.06731424152
85	0.0670638466
86	0.06675540589
87	0.06623479535
88	0.06582141543
89	0.06530536962
90	0.06520863229
91	0.06474384911
92	0.06432716177
93	0.06370523567
94	0.06329897344
95	0.06279656522
96	0.0620817251
97	0.06168376388
98	0.06145205166
99	0.06104490703
100	0.06071831161
101	0.06050760228
102	0.06038678947
103	0.05992387723
104	0.05972848917
105	0.05935682371
106	0.05913720038
107	0.05854602413
108	0.05833261006
109	0.05798075926
110	0.05754758303
111	0.05733526192
112	0.05693895086
113	0.05667873567
114	0.05593342476
115	0.05572964531
116	0.05550897691
117	0.05521896701
118	0.05506050029
119	0.05476810331
120	0.05441319882
121	0.05430551849
122	0.05400039145
123	0.05368006441
124	0.05342460794
125	0.05317706898
126	0.05289903617
127	0.05274174216
128	0.05251349866
129	0.05216415795
130	0.05195912503
131	0.05184683573
132	0.05156377508
133	0.05141504015
134	0.05113588559
135	0.05102014792
136	0.05091105737
137	0.05071284991
138	0.0504882459
139	0.05004049253
140	0.04975691381
141	0.04949354575
142	0.04916155093
143	0.04902263735
144	0.04889768844
145	0.0487674837
146	0.04858784697
147	0.0484493861
148	0.04817840562
149	0.04795494086
150	0.04784050538
151	0.04772828506
152	0.04735576679
153	0.04722282199
154	0.04712880053
155	0.04699776747
156	0.04686086153
157	0.04679381616
158	0.04649095402
159	0.04638988521
160	0.04609509062
161	0.04581612962
162	0.04561389806
163	0.04546528753
164	0.04542222249
165	0.04522475702
166	0.04497142818
167	0.04481118119
168	0.04472648136
169	0.04453901781
170	0.04440297105
171	0.04408100034
172	0.04385284998
173	0.04372263511
174	0.04353166743
175	0.04340865465
176	0.04331300974
177	0.04318024281
178	0.04284936821
179	0.04279516586
180	0.04250664905
181	0.04246355172
182	0.04230078278
183	0.04213695482
184	0.04201003362
185	0.04191740461
186	0.04176526897
187	0.04166069862
188	0.04156818302
189	0.04142728986
190	0.04136773043
191	0.04124561487
192	0.04118727076
193	0.0410499354
194	0.04088447117
195	0.04081309427
196	0.04075356682
197	0.04048538974
198	0.04035169063
199	0.04021237463
200	0.0401178885
201	0.03982019308
202	0.03973313446
203	0.03959906447
204	0.03952873548
205	0.03936104203
206	0.03918737595
207	0.03911328626
208	0.03903842489
209	0.03888314828
210	0.03881521425
211	0.03875811608
212	0.03861637939
213	0.03849393623
214	0.0383836976
215	0.03835654945
216	0.03823984465
217	0.03811090029
218	0.03797218509
219	0.03779377779
220	0.03767653558
221	0.03758685496
222	0.0374854521
223	0.03730173006
224	0.03714915031
225	0.0370068768
226	0.03690859947
227	0.03678930132
228	0.03672998182
229	0.03658068159
230	0.03643442839
231	0.03630063867
232	0.03620102785
233	0.03599809816
234	0.03587455417
235	0.03577449288
236	0.03570357554
237	0.0355153963
238	0.03537516068
239	0.03527398795
240	0.03520213408
241	0.035077783
242	0.03494430826
243	0.03483376111
244	0.03476904577
245	0.03468268742
246	0.0346054664
247	0.03454212572
248	0.03449236506
249	0.03442853172
250	0.03437484405
251	0.03414804566
252	0.03397195118
253	0.0338727676
254	0.03384172386
255	0.03372803608
256	0.03365923947
257	0.03348285107
258	0.0334007845
259	0.03324489073
260	0.0331422481
261	0.033061224
262	0.03296162681
263	0.03286873267
264	0.03281163771
265	0.03263673368
266	0.03256288482
267	0.03249107109
268	0.0323104831
269	0.03227811987
270	0.03218746892
271	0.03214445486
272	0.03202434346
273	0.03196745348
274	0.0318958971
275	0.03186349356
276	0.03180296685
277	0.03173570446
278	0.03165904845
279	0.03162175126
